ancillary_purchase_id,booking_id,item_id,item_type,item_name,quantity,unit_price_usd,total_price_usd
ANCP0000194,BKG000181,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000195,BKG000182,ANC04,seat,Preferred Seat,1,12.0,12.0
ANCP0000196,BKG000183,ANC08,lounge,Lounge Access ABJ,1,30.0,30.0
ANCP0000197,BKG000184,ANC03,seat,Standard Seat,1,8.93,8.93
ANCP0000198,BKG000184,ANC01,baggage,Extra Bag 23kg,1,39.07,39.07
ANCP0000199,BKG000185,ANC11,priority,Fast Track Security,1,16.67,16.67
ANCP0000200,BKG000185,ANC10,priority,Priority Boarding,1,13.33,13.33
ANCP0000201,BKG000187,ANC11,priority,Fast Track Security,1,15.0,15.0
ANCP0000202,BKG000187,ANC11,priority,Fast Track Security,1,15.0,15.0
ANCP0000203,BKG000188,ANC10,priority,Priority Boarding,1,12.0,12.0
ANCP0000204,BKG000190,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000205,BKG000191,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000206,BKG000192,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000207,BKG000193,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000208,BKG000195,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000209,BKG000196,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000210,BKG000197,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000211,BKG000199,ANC03,seat,Standard Seat,1,12.52,12.52
ANCP0000212,BKG000199,ANC06,meal,Hot Meal Upgrade,1,23.48,23.48
ANCP0000213,BKG000201,ANC03,seat,Standard Seat,1,15.0,15.0
ANCP0000214,BKG000201,ANC03,seat,Standard Seat,1,15.0,15.0
ANCP0000215,BKG000202,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000216,BKG000204,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000217,BKG000207,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000218,BKG000208,ANC04,seat,Preferred Seat,1,24.92,24.92
ANCP0000219,BKG000208,ANC03,seat,Standard Seat,1,11.08,11.08
ANCP0000220,BKG000209,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000221,BKG000210,ANC11,priority,Fast Track Security,1,15.0,15.0
ANCP0000222,BKG000210,ANC06,meal,Hot Meal Upgrade,1,15.0,15.0
ANCP0000223,BKG000211,ANC04,seat,Preferred Seat,1,12.0,12.0
ANCP0000224,BKG000212,ANC06,meal,Hot Meal Upgrade,1,12.0,12.0
ANCP0000225,BKG000213,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000226,BKG000214,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000227,BKG000215,ANC02,baggage,Extra Bag 32kg,1,48.0,48.0
ANCP0000228,BKG000216,ANC08,lounge,Lounge Access ABJ,1,36.0,36.0
ANCP0000229,BKG000217,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000230,BKG000218,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000231,BKG000221,ANC01,baggage,Extra Bag 23kg,1,36.0,36.0
ANCP0000232,BKG000222,ANC02,baggage,Extra Bag 32kg,1,36.0,36.0
ANCP0000233,BKG000223,ANC06,meal,Hot Meal Upgrade,1,18.0,18.0
ANCP0000234,BKG000226,ANC06,meal,Hot Meal Upgrade,1,18.0,18.0
ANCP0000235,BKG000227,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000236,BKG000228,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000237,BKG000229,ANC11,priority,Fast Track Security,1,12.0,12.0
ANCP0000238,BKG000230,ANC03,seat,Standard Seat,1,6.7,6.7
ANCP0000239,BKG000230,ANC05,seat,Extra Legroom Seat,1,29.3,29.3
ANCP0000240,BKG000231,ANC06,meal,Hot Meal Upgrade,1,18.0,18.0
ANCP0000241,BKG000232,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000242,BKG000233,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000243,BKG000233,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000244,BKG000236,ANC10,priority,Priority Boarding,1,9.19,9.19
ANCP0000245,BKG000236,ANC01,baggage,Extra Bag 23kg,1,26.81,26.81
ANCP0000246,BKG000237,ANC08,lounge,Lounge Access ABJ,1,48.0,48.0
ANCP0000247,BKG000238,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000248,BKG000239,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000249,BKG000241,ANC05,seat,Extra Legroom Seat,1,30.0,30.0
ANCP0000250,BKG000242,ANC01,baggage,Extra Bag 23kg,1,30.0,30.0
ANCP0000251,BKG000243,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000252,BKG000244,ANC06,meal,Hot Meal Upgrade,1,18.0,18.0
ANCP0000253,BKG000246,ANC03,seat,Standard Seat,1,12.0,12.0
ANCP0000254,BKG000247,ANC03,seat,Standard Seat,1,10.43,10.43
ANCP0000255,BKG000247,ANC11,priority,Fast Track Security,1,19.57,19.57
ANCP0000256,BKG000248,ANC11,priority,Fast Track Security,1,19.57,19.57
ANCP0000257,BKG000248,ANC03,seat,Standard Seat,1,10.43,10.43
ANCP0000258,BKG000249,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000259,BKG000249,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000260,BKG000251,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000261,BKG000252,ANC06,meal,Hot Meal Upgrade,1,20.0,20.0
ANCP0000262,BKG000252,ANC10,priority,Priority Boarding,1,16.0,16.0
ANCP0000263,BKG000253,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000264,BKG000254,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000265,BKG000255,ANC08,lounge,Lounge Access ABJ,1,36.0,36.0
ANCP0000266,BKG000256,ANC06,meal,Hot Meal Upgrade,1,18.0,18.0
ANCP0000267,BKG000257,ANC04,seat,Preferred Seat,1,16.36,16.36
ANCP0000268,BKG000257,ANC11,priority,Fast Track Security,1,13.64,13.64
ANCP0000269,BKG000258,ANC06,meal,Hot Meal Upgrade,1,19.57,19.57
ANCP0000270,BKG000258,ANC03,seat,Standard Seat,1,10.43,10.43
ANCP0000271,BKG000259,ANC05,seat,Extra Legroom Seat,1,31.7,31.7
ANCP0000272,BKG000259,ANC04,seat,Preferred Seat,1,16.3,16.3
ANCP0000273,BKG000260,ANC06,meal,Hot Meal Upgrade,1,18.0,18.0
ANCP0000274,BKG000261,ANC10,priority,Priority Boarding,1,12.26,12.26
ANCP0000275,BKG000261,ANC01,baggage,Extra Bag 23kg,1,35.74,35.74
ANCP0000276,BKG000262,ANC01,baggage,Extra Bag 23kg,1,36.0,36.0
ANCP0000277,BKG000263,ANC01,baggage,Extra Bag 23kg,1,36.0,36.0
ANCP0000278,BKG000264,ANC03,seat,Standard Seat,1,6.7,6.7
ANCP0000279,BKG000264,ANC01,baggage,Extra Bag 23kg,1,29.3,29.3
ANCP0000280,BKG000266,ANC04,seat,Preferred Seat,1,19.64,19.64
ANCP0000281,BKG000266,ANC06,meal,Hot Meal Upgrade,1,16.36,16.36
ANCP0000282,BKG000268,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000283,BKG000269,ANC06,meal,Hot Meal Upgrade,1,23.48,23.48
ANCP0000284,BKG000269,ANC03,seat,Standard Seat,1,12.52,12.52
ANCP0000285,BKG000270,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000286,BKG000271,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000287,BKG000272,ANC10,priority,Priority Boarding,1,12.0,12.0
ANCP0000288,BKG000273,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000289,BKG000274,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000290,BKG000275,ANC02,baggage,Extra Bag 32kg,1,36.0,36.0
ANCP0000291,BKG000277,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000292,BKG000278,ANC07,meal,Premium Meal,1,18.75,18.75
ANCP0000293,BKG000278,ANC06,meal,Hot Meal Upgrade,1,11.25,11.25
ANCP0000294,BKG000279,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000295,BKG000280,ANC07,meal,Premium Meal,1,17.44,17.44
ANCP0000296,BKG000280,ANC04,seat,Preferred Seat,1,12.56,12.56
ANCP0000297,BKG000281,ANC04,seat,Preferred Seat,1,12.0,12.0
ANCP0000298,BKG000282,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000299,BKG000284,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000300,BKG000285,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000301,BKG000287,ANC11,priority,Fast Track Security,1,12.0,12.0
ANCP0000302,BKG000288,ANC03,seat,Standard Seat,1,8.73,8.73
ANCP0000303,BKG000288,ANC07,meal,Premium Meal,1,27.27,27.27
ANCP0000304,BKG000289,ANC05,seat,Extra Legroom Seat,1,30.0,30.0
ANCP0000305,BKG000290,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000306,BKG000291,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000307,BKG000292,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000308,BKG000293,ANC11,priority,Fast Track Security,1,12.0,12.0
ANCP0000309,BKG000294,ANC07,meal,Premium Meal,1,24.0,24.0
ANCP0000310,BKG000294,ANC07,meal,Premium Meal,1,24.0,24.0
ANCP0000311,BKG000295,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000312,BKG000296,ANC02,baggage,Extra Bag 32kg,1,36.0,36.0
ANCP0000313,BKG000297,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000314,BKG000298,ANC03,seat,Standard Seat,1,12.0,12.0
ANCP0000315,BKG000300,ANC07,meal,Premium Meal,1,18.0,18.0
ANCP0000316,BKG000301,ANC08,lounge,Lounge Access ABJ,1,36.0,36.0
ANCP0000317,BKG000305,ANC03,seat,Standard Seat,1,5.58,5.58
ANCP0000318,BKG000305,ANC05,seat,Extra Legroom Seat,1,24.42,24.42
ANCP0000319,BKG000307,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000320,BKG000308,ANC10,priority,Priority Boarding,1,15.0,15.0
ANCP0000321,BKG000308,ANC10,priority,Priority Boarding,1,15.0,15.0
ANCP0000322,BKG000309,ANC11,priority,Fast Track Security,1,12.0,12.0
ANCP0000323,BKG000310,ANC07,meal,Premium Meal,1,24.32,24.32
ANCP0000324,BKG000310,ANC10,priority,Priority Boarding,1,11.68,11.68
ANCP0000325,BKG000311,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000326,BKG000312,ANC05,seat,Extra Legroom Seat,1,36.0,36.0
ANCP0000327,BKG000313,ANC02,baggage,Extra Bag 32kg,1,36.0,36.0
ANCP0000328,BKG000314,ANC10,priority,Priority Boarding,1,11.68,11.68
ANCP0000329,BKG000314,ANC07,meal,Premium Meal,1,24.32,24.32
ANCP0000330,BKG000315,ANC10,priority,Priority Boarding,1,18.0,18.0
ANCP0000331,BKG000316,ANC08,lounge,Lounge Access ABJ,1,30.0,30.0
ANCP0000332,BKG000317,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000333,BKG000318,ANC07,meal,Premium Meal,1,27.27,27.27
ANCP0000334,BKG000318,ANC03,seat,Standard Seat,1,8.73,8.73
ANCP0000335,BKG000319,ANC10,priority,Priority Boarding,1,12.0,12.0
ANCP0000336,BKG000320,ANC10,priority,Priority Boarding,1,18.0,18.0
ANCP0000337,BKG000321,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000338,BKG000322,ANC10,priority,Priority Boarding,1,18.0,18.0
ANCP0000339,BKG000323,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000340,BKG000324,ANC04,seat,Preferred Seat,1,12.0,12.0
ANCP0000341,BKG000325,ANC10,priority,Priority Boarding,1,18.0,18.0
