flight_id,fuel_cost_usd,crew_cost_usd,airport_fees_usd,nav_fees_usd,handling_cost_usd,total_operating_cost_usd
FLT00076,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00077,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00078,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00079,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00080,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00081,1760.0,458.33,450.0,64.05,305.0,3037.38
FLT00082,2383.33,628.33,450.0,105.75,375.0,3942.41
FLT00083,2566.67,676.67,450.0,117.0,375.0,4185.34
FLT00084,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00085,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00086,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00087,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00088,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00089,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00090,3116.67,821.67,1200.0,146.25,375.0,5659.59
FLT00091,3520.0,916.67,1200.0,144.57,305.0,6086.24
FLT00092,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00093,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00094,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00095,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00096,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00097,1760.0,458.33,450.0,64.05,305.0,3037.38
FLT00098,2383.33,628.33,450.0,105.75,375.0,3942.41
FLT00099,2464.0,641.67,450.0,95.16,305.0,3955.83
FLT00100,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00101,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00102,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00103,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00104,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00105,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00106,3116.67,821.67,1200.0,146.25,375.0,5659.59
FLT00107,3080.0,1000.0,1200.0,195.52,412.5,5888.02
FLT00108,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00109,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00110,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00111,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00112,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00113,1833.33,483.33,450.0,78.75,375.0,3220.41
FLT00114,2383.33,628.33,450.0,105.75,375.0,3942.41
FLT00115,2156.0,700.0,450.0,128.7,412.5,3847.2
FLT00116,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00117,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00118,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00119,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00120,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00121,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00122,2618.0,850.0,1200.0,160.88,412.5,5241.38
FLT00123,3666.67,966.67,1200.0,177.75,375.0,6386.09
FLT00124,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00125,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00126,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00127,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00128,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00129,1540.0,500.0,450.0,86.62,412.5,2989.12
FLT00130,2383.33,628.33,450.0,105.75,375.0,3942.41
FLT00131,2156.0,700.0,450.0,128.7,412.5,3847.2
FLT00132,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00133,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00134,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00135,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00136,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00137,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00138,2618.0,850.0,1200.0,160.88,412.5,5241.38
FLT00139,3666.67,966.67,1200.0,177.75,375.0,6386.09
FLT00140,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00141,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00142,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00143,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00144,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00145,1833.33,483.33,450.0,78.75,375.0,3220.41
FLT00146,2383.33,628.33,450.0,105.75,375.0,3942.41
FLT00147,2156.0,700.0,450.0,128.7,412.5,3847.2
FLT00148,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00149,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00150,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00151,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00152,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00153,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00154,2992.0,779.17,1200.0,118.95,305.0,5395.12
FLT00155,3520.0,916.67,1200.0,144.57,305.0,6086.24
FLT00156,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00157,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00158,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00159,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00160,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00161,1833.33,483.33,450.0,78.75,375.0,3220.41
FLT00162,2383.33,628.33,450.0,105.75,375.0,3942.41
FLT00163,2464.0,641.67,450.0,95.16,305.0,3955.83
FLT00164,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00165,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00166,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00167,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00168,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00169,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00170,2992.0,779.17,1200.0,118.95,305.0,5395.12
FLT00171,3666.67,966.67,1200.0,177.75,375.0,6386.09
FLT00172,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00173,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00174,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00175,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00176,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00177,1540.0,500.0,450.0,86.62,412.5,2989.12
FLT00178,2383.33,628.33,450.0,105.75,375.0,3942.41
FLT00179,2156.0,700.0,450.0,128.7,412.5,3847.2
FLT00180,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00181,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00182,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00183,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00184,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00185,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00186,2992.0,779.17,1200.0,118.95,305.0,5395.12
FLT00187,3666.67,966.67,1200.0,177.75,375.0,6386.09
FLT00188,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00189,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00190,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00191,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00192,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00193,1760.0,458.33,450.0,64.05,305.0,3037.38
FLT00194,2288.0,595.83,450.0,86.01,305.0,3724.84
FLT00195,2156.0,700.0,450.0,128.7,412.5,3847.2
FLT00196,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00197,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00198,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00199,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00200,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00201,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00202,2992.0,779.17,1200.0,118.95,305.0,5395.12
FLT00203,3520.0,916.67,1200.0,144.57,305.0,6086.24
FLT00204,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00205,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00206,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00207,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00208,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00209,1760.0,458.33,450.0,64.05,305.0,3037.38
FLT00210,2002.0,650.0,450.0,116.32,412.5,3630.82
FLT00211,2156.0,700.0,450.0,128.7,412.5,3847.2
FLT00212,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00213,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00214,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00215,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00216,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00217,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00218,2992.0,779.17,1200.0,118.95,305.0,5395.12
FLT00219,3080.0,1000.0,1200.0,195.52,412.5,5888.02
FLT00220,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00221,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00222,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00223,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00224,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00225,1760.0,458.33,450.0,64.05,305.0,3037.38
FLT00226,2288.0,595.83,450.0,86.01,305.0,3724.84
FLT00227,2464.0,641.67,450.0,95.16,305.0,3955.83
FLT00228,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00229,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00230,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00231,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00232,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00233,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00234,2618.0,850.0,1200.0,160.88,412.5,5241.38
FLT00235,3520.0,916.67,1200.0,144.57,305.0,6086.24
FLT00236,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00237,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00238,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00239,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00240,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00241,1760.0,458.33,450.0,64.05,305.0,3037.38
FLT00242,2288.0,595.83,450.0,86.01,305.0,3724.84
FLT00243,2464.0,641.67,450.0,95.16,305.0,3955.83
FLT00244,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00245,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00246,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00247,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00248,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00249,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00250,2992.0,779.17,1200.0,118.95,305.0,5395.12
FLT00251,3666.67,966.67,1200.0,177.75,375.0,6386.09
FLT00252,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00253,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00254,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00255,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00256,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00257,1760.0,458.33,450.0,64.05,305.0,3037.38
FLT00258,2002.0,650.0,450.0,116.32,412.5,3630.82
FLT00259,2156.0,700.0,450.0,128.7,412.5,3847.2
FLT00260,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00261,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00262,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00263,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00264,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00265,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00266,2992.0,779.17,1200.0,118.95,305.0,5395.12
FLT00267,3520.0,916.67,1200.0,144.57,305.0,6086.24
FLT00268,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00269,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00270,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00271,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00272,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00273,1760.0,458.33,450.0,64.05,305.0,3037.38
FLT00274,2288.0,595.83,450.0,86.01,305.0,3724.84
FLT00275,2566.67,676.67,450.0,117.0,375.0,4185.34
FLT00276,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00277,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00278,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00279,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00280,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00281,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00282,3116.67,821.67,1200.0,146.25,375.0,5659.59
FLT00283,3520.0,916.67,1200.0,144.57,305.0,6086.24
FLT00284,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00285,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00286,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00287,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00288,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00289,1760.0,458.33,450.0,64.05,305.0,3037.38
FLT00290,2002.0,650.0,450.0,116.32,412.5,3630.82
FLT00291,2156.0,700.0,450.0,128.7,412.5,3847.2
FLT00292,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00293,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00294,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00295,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00296,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00297,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00298,3116.67,821.67,1200.0,146.25,375.0,5659.59
FLT00299,3520.0,916.67,1200.0,144.57,305.0,6086.24
FLT00300,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00301,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00302,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00303,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00304,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00305,1760.0,458.33,450.0,64.05,305.0,3037.38
FLT00306,2288.0,595.83,450.0,86.01,305.0,3724.84
FLT00307,2464.0,641.67,450.0,95.16,305.0,3955.83
FLT00308,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00309,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00310,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00311,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00312,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00313,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00314,2618.0,850.0,1200.0,160.88,412.5,5241.38
FLT00315,3080.0,1000.0,1200.0,195.52,412.5,5888.02
FLT00316,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00317,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00318,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00319,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00320,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00321,1760.0,458.33,450.0,64.05,305.0,3037.38
FLT00322,2383.33,628.33,450.0,105.75,375.0,3942.41
FLT00323,2156.0,700.0,450.0,128.7,412.5,3847.2
FLT00324,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00325,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00326,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00327,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00328,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00329,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00330,2618.0,850.0,1200.0,160.88,412.5,5241.38
FLT00331,3080.0,1000.0,1200.0,195.52,412.5,5888.02
FLT00332,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00333,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00334,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00335,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00336,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00337,1760.0,458.33,450.0,64.05,305.0,3037.38
FLT00338,2383.33,628.33,450.0,105.75,375.0,3942.41
FLT00339,2566.67,676.67,450.0,117.0,375.0,4185.34
FLT00340,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00341,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00342,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00343,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00344,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00345,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00346,2992.0,779.17,1200.0,118.95,305.0,5395.12
FLT00347,3520.0,916.67,1200.0,144.57,305.0,6086.24
FLT00348,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00349,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00350,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00351,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00352,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00353,1760.0,458.33,450.0,64.05,305.0,3037.38
FLT00354,2288.0,595.83,450.0,86.01,305.0,3724.84
FLT00355,2156.0,700.0,450.0,128.7,412.5,3847.2
FLT00356,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00357,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00358,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00359,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00360,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00361,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00362,2618.0,850.0,1200.0,160.88,412.5,5241.38
FLT00363,3080.0,1000.0,1200.0,195.52,412.5,5888.02
FLT00364,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00365,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00366,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00367,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00368,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00369,1540.0,500.0,450.0,86.62,412.5,2989.12
FLT00370,2002.0,650.0,450.0,116.32,412.5,3630.82
FLT00371,2566.67,676.67,450.0,117.0,375.0,4185.34
FLT00372,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00373,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00374,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00375,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00376,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00377,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00378,3116.67,821.67,1200.0,146.25,375.0,5659.59
FLT00379,3520.0,916.67,1200.0,144.57,305.0,6086.24
FLT00380,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00381,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00382,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00383,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00384,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00385,1833.33,483.33,450.0,78.75,375.0,3220.41
FLT00386,2383.33,628.33,450.0,105.75,375.0,3942.41
FLT00387,2464.0,641.67,450.0,95.16,305.0,3955.83
FLT00388,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00389,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00390,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00391,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00392,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00393,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00394,3116.67,821.67,1200.0,146.25,375.0,5659.59
FLT00395,3520.0,916.67,1200.0,144.57,305.0,6086.24
FLT00396,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00397,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00398,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00399,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00400,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00401,1540.0,500.0,450.0,86.62,412.5,2989.12
FLT00402,2383.33,628.33,450.0,105.75,375.0,3942.41
FLT00403,2156.0,700.0,450.0,128.7,412.5,3847.2
FLT00404,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00405,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00406,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00407,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00408,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00409,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00410,2992.0,779.17,1200.0,118.95,305.0,5395.12
FLT00411,3080.0,1000.0,1200.0,195.52,412.5,5888.02
FLT00412,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00413,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00414,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00415,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00416,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00417,1760.0,458.33,450.0,64.05,305.0,3037.38
