loyalty_txn_id,customer_id,txn_date,txn_type,miles_amount,related_booking_id,description
LTX0000064,CUST0030,2024-12-29 00:00:00,Earn,285,BKG000169,Miles earned from flight booking (tier=Silver)
LTX0000065,CUST0177,2024-12-24 00:00:00,Earn,245,BKG000172,Miles earned from flight booking (tier=Explorer)
LTX0000066,CUST0211,2024-12-02 00:00:00,Earn,421,BKG000177,Miles earned from flight booking (tier=Gold)
LTX0000067,CUST0002,2024-11-24 00:00:00,Earn,249,BKG000179,Miles earned from flight booking (tier=Explorer)
LTX0000068,CUST0048,2024-12-26 00:00:00,Earn,136,BKG000182,Miles earned from flight booking (tier=Explorer)
LTX0000069,CUST0109,2024-11-18 00:00:00,Earn,413,BKG000183,Miles earned from flight booking (tier=Gold)
LTX0000070,CUST0177,2024-12-18 00:00:00,Earn,184,BKG000184,Miles earned from flight booking (tier=Explorer)
LTX0000071,CUST0147,2024-11-04 00:00:00,Earn,528,BKG000189,Miles earned from flight booking (tier=Explorer)
LTX0000072,CUST0067,2024-11-16 00:00:00,Earn,227,BKG000192,Miles earned from flight booking (tier=Explorer)
LTX0000073,CUST0112,2024-11-15 00:00:00,Earn,209,BKG000193,Miles earned from flight booking (tier=Explorer)
LTX0000074,CUST0109,2024-12-13 00:00:00,Earn,333,BKG000201,Miles earned from flight booking (tier=Gold)
LTX0000075,CUST0041,2024-11-30 00:00:00,Earn,431,BKG000203,Miles earned from flight booking (tier=Silver)
LTX0000076,CUST0157,2024-11-11 00:00:00,Earn,221,BKG000204,Miles earned from flight booking (tier=Silver)
LTX0000077,CUST0165,2024-11-17 00:00:00,Earn,225,BKG000215,Miles earned from flight booking (tier=Silver)
LTX0000078,CUST0271,2024-11-30 00:00:00,Earn,302,BKG000222,Miles earned from flight booking (tier=Explorer)
LTX0000079,CUST0165,2024-11-08 00:00:00,Earn,356,BKG000224,Miles earned from flight booking (tier=Silver)
LTX0000080,CUST0147,2024-11-29 00:00:00,Earn,249,BKG000228,Miles earned from flight booking (tier=Explorer)
LTX0000081,CUST0119,2024-12-09 00:00:00,Earn,342,BKG000229,Miles earned from flight booking (tier=Silver)
LTX0000082,CUST0111,2024-12-30 00:00:00,Earn,612,BKG000232,Miles earned from flight booking (tier=Silver)
LTX0000083,CUST0225,2024-12-31 00:00:00,Earn,420,BKG000238,Miles earned from flight booking (tier=Silver)
LTX0000084,CUST0118,2024-12-04 00:00:00,Earn,209,BKG000241,Miles earned from flight booking (tier=Explorer)
LTX0000085,CUST0206,2024-12-25 00:00:00,Earn,293,BKG000242,Miles earned from flight booking (tier=Gold)
LTX0000086,CUST0115,2024-11-07 00:00:00,Earn,212,BKG000245,Miles earned from flight booking (tier=Explorer)
LTX0000087,CUST0074,2024-12-01 00:00:00,Earn,230,BKG000246,Miles earned from flight booking (tier=Silver)
LTX0000088,CUST0240,2024-11-28 00:00:00,Earn,116,BKG000247,Miles earned from flight booking (tier=Explorer)
LTX0000089,CUST0177,2024-11-02 00:00:00,Earn,249,BKG000248,Miles earned from flight booking (tier=Explorer)
LTX0000090,CUST0008,2024-11-28 00:00:00,Earn,173,BKG000250,Miles earned from flight booking (tier=Explorer)
LTX0000091,CUST0009,2024-11-24 00:00:00,Earn,718,BKG000251,Miles earned from flight booking (tier=Explorer)
LTX0000092,CUST0120,2024-12-09 00:00:00,Earn,186,BKG000256,Miles earned from flight booking (tier=Explorer)
LTX0000093,CUST0119,2024-11-02 00:00:00,Earn,454,BKG000258,Miles earned from flight booking (tier=Silver)
LTX0000094,CUST0112,2024-11-24 00:00:00,Earn,352,BKG000262,Miles earned from flight booking (tier=Explorer)
LTX0000095,CUST0233,2024-12-19 00:00:00,Earn,181,BKG000267,Miles earned from flight booking (tier=Explorer)
LTX0000096,CUST0033,2024-11-23 00:00:00,Earn,126,BKG000273,Miles earned from flight booking (tier=Explorer)
LTX0000097,CUST0084,2024-12-29 00:00:00,Earn,379,BKG000275,Miles earned from flight booking (tier=Silver)
LTX0000098,CUST0121,2024-12-27 00:00:00,Earn,536,BKG000282,Miles earned from flight booking (tier=Explorer)
LTX0000099,CUST0251,2024-12-17 00:00:00,Earn,976,BKG000283,Miles earned from flight booking (tier=Explorer)
LTX0000100,CUST0250,2024-11-06 00:00:00,Earn,998,BKG000284,Miles earned from flight booking (tier=Explorer)
LTX0000101,CUST0131,2024-11-09 00:00:00,Earn,1788,BKG000285,Miles earned from flight booking (tier=Gold)
LTX0000102,CUST0150,2024-11-20 00:00:00,Earn,1251,BKG000288,Miles earned from flight booking (tier=Gold)
LTX0000103,CUST0144,2024-12-27 00:00:00,Earn,2580,BKG000292,Miles earned from flight booking (tier=Explorer)
LTX0000104,CUST0083,2024-11-20 00:00:00,Earn,806,BKG000293,Miles earned from flight booking (tier=Explorer)
LTX0000105,CUST0229,2024-12-24 00:00:00,Earn,1696,BKG000295,Miles earned from flight booking (tier=Explorer)
LTX0000106,CUST0148,2024-12-29 00:00:00,Earn,1009,BKG000300,Miles earned from flight booking (tier=Explorer)
LTX0000107,CUST0256,2024-12-24 00:00:00,Earn,2626,BKG000303,Miles earned from flight booking (tier=Explorer)
LTX0000108,CUST0273,2024-12-10 00:00:00,Earn,3460,BKG000304,Miles earned from flight booking (tier=Gold)
LTX0000109,CUST0244,2024-11-17 00:00:00,Earn,691,BKG000309,Miles earned from flight booking (tier=Silver)
LTX0000110,CUST0168,2024-11-04 00:00:00,Earn,542,BKG000313,Miles earned from flight booking (tier=Explorer)
LTX0000111,CUST0089,2024-12-11 00:00:00,Earn,1688,BKG000315,Miles earned from flight booking (tier=Explorer)
LTX0000112,CUST0195,2024-12-12 00:00:00,Earn,688,BKG000317,Miles earned from flight booking (tier=Gold)
LTX0000113,CUST0008,2024-11-28 00:00:00,Earn,135,BKG000328,Miles earned from flight booking (tier=Explorer)
LTX0000114,CUST0190,2024-11-26 00:00:00,Earn,315,BKG000329,Miles earned from flight booking (tier=Explorer)
LTX0000115,CUST0168,2024-11-07 00:00:00,Earn,164,BKG000331,Miles earned from flight booking (tier=Explorer)
LTX0000116,CUST0154,2024-12-14 00:00:00,Earn,833,BKG000336,Miles earned from flight booking (tier=Gold)
LTX0000117,CUST0170,2024-12-04 00:00:00,Earn,328,BKG000337,Miles earned from flight booking (tier=Silver)
LTX0000118,CUST0247,2024-12-17 00:00:00,Earn,149,BKG000338,Miles earned from flight booking (tier=Explorer)
LTX0000119,CUST0238,2024-12-27 00:00:00,Earn,402,BKG000339,Miles earned from flight booking (tier=Gold)
LTX0000120,CUST0279,2024-12-24 00:00:00,Earn,288,BKG000340,Miles earned from flight booking (tier=Gold)
LTX0000121,CUST0033,2024-12-15 00:00:00,Earn,322,BKG000341,Miles earned from flight booking (tier=Explorer)
LTX0000122,CUST0099,2024-12-11 00:00:00,Earn,784,BKG000343,Miles earned from flight booking (tier=Explorer)
LTX0000123,CUST0039,2024-12-22 00:00:00,Earn,328,BKG000345,Miles earned from flight booking (tier=Silver)
LTX0000124,CUST0264,2024-11-17 00:00:00,Earn,324,BKG000347,Miles earned from flight booking (tier=Silver)
LTX0000125,CUST0104,2024-11-15 00:00:00,Earn,246,BKG000359,Miles earned from flight booking (tier=Silver)
LTX0000126,CUST0255,2024-12-01 00:00:00,Earn,266,BKG000360,Miles earned from flight booking (tier=Gold)
LTX0000127,CUST0119,2024-12-14 00:00:00,Earn,389,BKG000374,Miles earned from flight booking (tier=Silver)
LTX0000128,CUST0067,2024-11-10 00:00:00,Earn,340,BKG000376,Miles earned from flight booking (tier=Explorer)
LTX0000129,CUST0223,2024-12-26 00:00:00,Earn,324,BKG000381,Miles earned from flight booking (tier=Silver)
LTX0000130,CUST0225,2024-11-26 00:00:00,Earn,204,BKG000384,Miles earned from flight booking (tier=Silver)
LTX0000131,CUST0133,2024-11-20 00:00:00,Earn,340,BKG000386,Miles earned from flight booking (tier=Explorer)
LTX0000132,CUST0154,2024-12-17 00:00:00,Earn,360,BKG000392,Miles earned from flight booking (tier=Gold)
LTX0000133,CUST0299,2024-11-05 00:00:00,Earn,395,BKG000396,Miles earned from flight booking (tier=Silver)
LTX0000134,CUST0211,2024-11-09 00:00:00,Earn,94,BKG000401,Miles earned from flight booking (tier=Gold)
LTX0000135,CUST0035,2024-11-08 00:00:00,Earn,106,BKG000405,Miles earned from flight booking (tier=Explorer)
LTX0000136,CUST0082,2024-12-02 00:00:00,Earn,196,BKG000408,Miles earned from flight booking (tier=Silver)
LTX0000137,CUST0290,2024-11-15 00:00:00,Earn,153,BKG000409,Miles earned from flight booking (tier=Explorer)
LTX0000138,CUST0255,2024-11-08 00:00:00,Earn,113,BKG000412,Miles earned from flight booking (tier=Gold)
LTX0000139,CUST0131,2024-11-04 00:00:00,Earn,459,BKG000414,Miles earned from flight booking (tier=Gold)
LTX0000140,CUST0074,2024-11-15 00:00:00,Earn,208,BKG000417,Miles earned from flight booking (tier=Silver)
LTX0000141,CUST0057,2024-12-09 00:00:00,Earn,68,BKG000419,Miles earned from flight booking (tier=Explorer)
LTX0000142,CUST0047,2024-11-24 00:00:00,Earn,185,BKG000424,Miles earned from flight booking (tier=Silver)
LTX0000143,CUST0111,2024-12-06 00:00:00,Earn,245,BKG000426,Miles earned from flight booking (tier=Silver)
LTX0000144,CUST0292,2024-11-26 00:00:00,Earn,177,BKG000427,Miles earned from flight booking (tier=Gold)
LTX0000145,CUST0289,2024-12-11 00:00:00,Earn,101,BKG000428,Miles earned from flight booking (tier=Explorer)
LTX0000146,CUST0032,2024-12-09 00:00:00,Earn,139,BKG000431,Miles earned from flight booking (tier=Explorer)
LTX0000147,CUST0216,2024-11-25 00:00:00,Earn,114,BKG000438,Miles earned from flight booking (tier=Silver)
LTX0000148,CUST0031,2024-12-10 00:00:00,Earn,260,BKG000443,Miles earned from flight booking (tier=Gold)
LTX0000149,CUST0286,2024-12-23 00:00:00,Earn,180,BKG000448,Miles earned from flight booking (tier=Gold)
LTX0000150,CUST0030,2024-11-24 00:00:00,Earn,92,BKG000452,Miles earned from flight booking (tier=Silver)
LTX0000151,CUST0008,2024-11-14 00:00:00,Earn,131,BKG000453,Miles earned from flight booking (tier=Explorer)
LTX0000152,CUST0242,2024-12-31 00:00:00,Earn,237,BKG000454,Miles earned from flight booking (tier=Gold)
LTX0000153,CUST0047,2024-11-18 00:00:00,Earn,144,BKG000455,Miles earned from flight booking (tier=Silver)
LTX0000154,CUST0048,2024-12-18 00:00:00,Earn,278,BKG000464,Miles earned from flight booking (tier=Explorer)
LTX0000155,CUST0254,2024-12-11 00:00:00,Earn,156,BKG000469,Miles earned from flight booking (tier=Explorer)
LTX0000156,CUST0194,2024-12-10 00:00:00,Earn,206,BKG000470,Miles earned from flight booking (tier=Silver)
LTX0000157,CUST0198,2024-12-09 00:00:00,Earn,292,BKG000476,Miles earned from flight booking (tier=Silver)
LTX0000158,CUST0193,2024-11-19 00:00:00,Earn,208,BKG000480,Miles earned from flight booking (tier=Gold)
LTX0000159,CUST0055,2024-12-14 00:00:00,Earn,307,BKG000483,Miles earned from flight booking (tier=Explorer)
LTX0000160,CUST0104,2024-12-20 00:00:00,Earn,306,BKG000491,Miles earned from flight booking (tier=Silver)
LTX0000161,CUST0026,2024-12-09 00:00:00,Earn,518,BKG000493,Miles earned from flight booking (tier=Explorer)
LTX0000162,CUST0084,2024-12-21 00:00:00,Earn,391,BKG000497,Miles earned from flight booking (tier=Silver)
LTX0000163,CUST0238,2024-12-12 00:00:00,Earn,508,BKG000499,Miles earned from flight booking (tier=Gold)
LTX0000164,CUST0074,2024-12-14 00:00:00,Earn,279,BKG000503,Miles earned from flight booking (tier=Silver)
LTX0000165,CUST0055,2024-12-05 00:00:00,Earn,174,BKG000506,Miles earned from flight booking (tier=Explorer)
LTX0000166,CUST0047,2024-12-03 00:00:00,Earn,282,BKG000509,Miles earned from flight booking (tier=Silver)
LTX0000167,CUST0055,2024-11-27 00:00:00,Earn,170,BKG000516,Miles earned from flight booking (tier=Explorer)
LTX0000168,CUST0178,2024-11-16 00:00:00,Earn,374,BKG000520,Miles earned from flight booking (tier=Gold)
LTX0000169,CUST0214,2024-12-22 00:00:00,Earn,205,BKG000527,Miles earned from flight booking (tier=Explorer)
LTX0000170,CUST0028,2024-12-16 00:00:00,Earn,261,BKG000534,Miles earned from flight booking (tier=Gold)
LTX0000171,CUST0292,2024-12-21 00:00:00,Earn,425,BKG000536,Miles earned from flight booking (tier=Gold)
LTX0000172,CUST0120,2024-12-20 00:00:00,Earn,259,BKG000537,Miles earned from flight booking (tier=Explorer)
LTX0000173,CUST0083,2024-11-12 00:00:00,Earn,306,BKG000539,Miles earned from flight booking (tier=Explorer)
LTX0000174,CUST0212,2024-12-01 00:00:00,Earn,148,BKG000541,Miles earned from flight booking (tier=Explorer)
LTX0000175,CUST0227,2024-11-19 00:00:00,Earn,320,BKG000549,Miles earned from flight booking (tier=Gold)
LTX0000176,CUST0120,2024-11-09 00:00:00,Earn,224,BKG000552,Miles earned from flight booking (tier=Explorer)
LTX0000177,CUST0178,2024-12-16 00:00:00,Earn,488,BKG000554,Miles earned from flight booking (tier=Gold)
LTX0000178,CUST0053,2024-12-02 00:00:00,Earn,313,BKG000556,Miles earned from flight booking (tier=Explorer)
LTX0000179,CUST0043,2024-12-06 00:00:00,Earn,183,BKG000560,Miles earned from flight booking (tier=Explorer)
LTX0000180,CUST0237,2024-12-21 00:00:00,Earn,255,BKG000561,Miles earned from flight booking (tier=Silver)
LTX0000181,CUST0193,2024-11-28 00:00:00,Earn,471,BKG000567,Miles earned from flight booking (tier=Gold)
LTX0000182,CUST0120,2024-12-17 00:00:00,Earn,295,BKG000569,Miles earned from flight booking (tier=Explorer)
LTX0000183,CUST0055,2024-12-10 00:00:00,Earn,285,BKG000573,Miles earned from flight booking (tier=Explorer)
LTX0000184,CUST0286,2024-12-23 00:00:00,Earn,400,BKG000574,Miles earned from flight booking (tier=Gold)
LTX0000185,CUST0008,2024-11-27 00:00:00,Earn,242,BKG000575,Miles earned from flight booking (tier=Explorer)
LTX0000186,CUST0220,2024-11-29 00:00:00,Earn,634,BKG000576,Miles earned from flight booking (tier=Explorer)
LTX0000187,CUST0118,2024-12-21 00:00:00,Earn,363,BKG000584,Miles earned from flight booking (tier=Explorer)
LTX0000188,CUST0122,2024-11-17 00:00:00,Earn,230,BKG000585,Miles earned from flight booking (tier=Explorer)
LTX0000189,CUST0235,2024-12-25 00:00:00,Earn,214,BKG000590,Miles earned from flight booking (tier=Explorer)
LTX0000190,CUST0254,2024-12-06 00:00:00,Earn,346,BKG000598,Miles earned from flight booking (tier=Explorer)
LTX0000191,CUST0212,2024-12-21 00:00:00,Earn,245,BKG000602,Miles earned from flight booking (tier=Explorer)
LTX0000192,CUST0252,2025-01-01 00:00:00,Earn,228,BKG000604,Miles earned from flight booking (tier=Gold)
LTX0000193,CUST0271,2024-12-11 00:00:00,Earn,287,BKG000605,Miles earned from flight booking (tier=Explorer)
LTX0000194,CUST0219,2024-11-05 00:00:00,Earn,304,BKG000606,Miles earned from flight booking (tier=Explorer)
LTX0000195,CUST0001,2024-12-15 00:00:00,Earn,352,BKG000610,Miles earned from flight booking (tier=Gold)
LTX0000196,CUST0150,2024-12-11 00:00:00,Earn,434,BKG000611,Miles earned from flight booking (tier=Gold)
LTX0000197,CUST0111,2024-12-02 00:00:00,Earn,201,BKG000614,Miles earned from flight booking (tier=Silver)
LTX0000198,CUST0143,2024-11-27 00:00:00,Earn,226,BKG000619,Miles earned from flight booking (tier=Explorer)
LTX0000199,CUST0268,2024-12-27 00:00:00,Earn,180,BKG000620,Miles earned from flight booking (tier=Silver)
LTX0000200,CUST0280,2024-12-14 00:00:00,Earn,149,BKG000621,Miles earned from flight booking (tier=Explorer)
LTX0000201,CUST0212,2024-12-11 00:00:00,Earn,284,BKG000627,Miles earned from flight booking (tier=Explorer)
LTX0000202,CUST0247,2024-11-14 00:00:00,Earn,259,BKG000630,Miles earned from flight booking (tier=Explorer)
LTX0000203,CUST0242,2024-12-30 00:00:00,Earn,188,BKG000631,Miles earned from flight booking (tier=Gold)
LTX0000204,CUST0290,2024-12-11 00:00:00,Earn,562,BKG000632,Miles earned from flight booking (tier=Explorer)
LTX0000205,CUST0170,2024-12-16 00:00:00,Earn,396,BKG000633,Miles earned from flight booking (tier=Silver)
LTX0000206,CUST0074,2024-12-13 00:00:00,Earn,342,BKG000637,Miles earned from flight booking (tier=Silver)
LTX0000207,CUST0143,2024-12-22 00:00:00,Earn,286,BKG000639,Miles earned from flight booking (tier=Explorer)
LTX0000208,CUST0238,2024-11-11 00:00:00,Earn,602,BKG000648,Miles earned from flight booking (tier=Gold)
LTX0000209,CUST0193,2024-11-13 00:00:00,Earn,2122,BKG000651,Miles earned from flight booking (tier=Gold)
LTX0000210,CUST0223,2024-11-19 00:00:00,Earn,1607,BKG000655,Miles earned from flight booking (tier=Silver)
LTX0000211,CUST0262,2024-12-16 00:00:00,Earn,627,BKG000656,Miles earned from flight booking (tier=Explorer)
LTX0000212,CUST0279,2024-11-26 00:00:00,Earn,1383,BKG000658,Miles earned from flight booking (tier=Gold)
LTX0000213,CUST0115,2024-12-18 00:00:00,Earn,991,BKG000668,Miles earned from flight booking (tier=Explorer)
LTX0000214,CUST0231,2024-11-20 00:00:00,Earn,2048,BKG000669,Miles earned from flight booking (tier=Gold)
LTX0000215,CUST0213,2024-12-17 00:00:00,Earn,864,BKG000670,Miles earned from flight booking (tier=Gold)
LTX0000216,CUST0001,2024-12-20 00:00:00,Earn,3581,BKG000672,Miles earned from flight booking (tier=Gold)
LTX0000217,CUST0118,2024-11-27 00:00:00,Earn,1018,BKG000673,Miles earned from flight booking (tier=Explorer)
LTX0000218,CUST0041,2024-12-27 00:00:00,Earn,1022,BKG000675,Miles earned from flight booking (tier=Silver)
LTX0000219,CUST0028,2024-11-24 00:00:00,Earn,1170,BKG000676,Miles earned from flight booking (tier=Gold)
LTX0000220,CUST0033,2024-12-07 00:00:00,Earn,1866,BKG000679,Miles earned from flight booking (tier=Explorer)
LTX0000221,CUST0157,2024-11-03 00:00:00,Earn,1538,BKG000682,Miles earned from flight booking (tier=Silver)
LTX0000222,CUST0244,2024-11-15 00:00:00,Earn,1330,BKG000687,Miles earned from flight booking (tier=Silver)
LTX0000223,CUST0131,2025-01-01 00:00:00,Earn,2491,BKG000688,Miles earned from flight booking (tier=Gold)
LTX0000224,CUST0001,2024-12-15 00:00:00,Earn,2956,BKG000690,Miles earned from flight booking (tier=Gold)
LTX0000225,CUST0112,2024-12-03 00:00:00,Earn,498,BKG000691,Miles earned from flight booking (tier=Explorer)
LTX0000226,CUST0296,2024-11-18 00:00:00,Earn,867,BKG000692,Miles earned from flight booking (tier=Explorer)
LTX0000227,CUST0084,2024-12-26 00:00:00,Earn,3138,BKG000694,Miles earned from flight booking (tier=Silver)
LTX0000228,CUST0231,2024-12-23 00:00:00,Earn,3512,BKG000696,Miles earned from flight booking (tier=Gold)
LTX0000229,CUST0272,2024-11-22 00:00:00,Earn,732,BKG000698,Miles earned from flight booking (tier=Explorer)
LTX0000230,CUST0273,2024-12-18 00:00:00,Earn,601,BKG000712,Miles earned from flight booking (tier=Gold)
LTX0000231,CUST0144,2024-11-13 00:00:00,Earn,864,BKG000713,Miles earned from flight booking (tier=Explorer)
LTX0000232,CUST0212,2024-12-01 00:00:00,Earn,558,BKG000714,Miles earned from flight booking (tier=Explorer)
LTX0000233,CUST0008,2024-12-24 00:00:00,Earn,367,BKG000716,Miles earned from flight booking (tier=Explorer)
LTX0000234,CUST0290,2024-12-13 00:00:00,Earn,291,BKG000720,Miles earned from flight booking (tier=Explorer)
LTX0000235,CUST0273,2024-12-25 00:00:00,Earn,888,BKG000722,Miles earned from flight booking (tier=Gold)
LTX0000236,CUST0104,2024-12-08 00:00:00,Earn,208,BKG000743,Miles earned from flight booking (tier=Silver)
LTX0000237,CUST0031,2024-11-14 00:00:00,Earn,482,BKG000745,Miles earned from flight booking (tier=Gold)
LTX0000238,CUST0199,2024-11-20 00:00:00,Earn,587,BKG000749,Miles earned from flight booking (tier=Silver)
LTX0000239,CUST0185,2024-12-19 00:00:00,Earn,750,BKG000750,Miles earned from flight booking (tier=Explorer)
LTX0000240,CUST0157,2024-12-29 00:00:00,Earn,508,BKG000753,Miles earned from flight booking (tier=Silver)
LTX0000241,CUST0216,2024-11-18 00:00:00,Earn,664,BKG000758,Miles earned from flight booking (tier=Silver)
